epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,29.2113,2.04987,4.25294,1.30243,0.00417,0.9375,0.00567,0.00235,1.35044,3.81125,0.99851,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
2,54.7589,2.04876,4.20472,1.30403,0.00444,1,0.00988,0.00378,1.28153,3.76766,0.97714,0.00153981,0.00051327,0.00153981,0.00051327,0.00153981,0.00051327,0.00153981,0.00051327
3,76.8851,1.80633,4.01195,1.15441,0.00444,1,0.01447,0.00765,1.20439,3.75535,0.94075,0.00221646,0.00073882,0.00221646,0.00073882,0.00221646,0.00073882,0.00221646,0.00073882
4,98.9662,1.75063,3.65294,1.13209,0.00444,1,0.02217,0.01305,1.17503,3.66752,0.91445,0.00280995,0.00093665,0.00280995,0.00093665,0.00280995,0.00093665,0.00280995,0.00093665
5,119.718,1.75697,3.22434,1.10267,0.00444,1,0.09583,0.05703,1.17288,3.56427,0.9039,0.00332028,0.00110676,0.00332028,0.00110676,0.00332028,0.00110676,0.00332028,0.00110676
6,141.253,1.81033,2.76259,1.13015,0.61511,0.875,0.8548,0.52555,1.26901,3.08768,0.93065,0.00374745,0.00124915,0.00374745,0.00124915,0.00374745,0.00124915,0.00374745,0.00124915
7,161.594,1.67831,2.06767,1.07709,0.91061,0.8125,0.92369,0.54843,1.39495,2.74799,0.95432,0.00409146,0.00136382,0.00409146,0.00136382,0.00409146,0.00136382,0.00409146,0.00136382
8,182.448,1.76506,2.09828,1.13285,1,0.86403,0.96808,0.55127,1.55676,1.97357,1.02165,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
9,203.384,1.73527,2.00927,1.1352,1,0.98427,0.995,0.46574,1.84199,1.59484,1.13432,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
10,225.294,1.52947,1.74122,1.07641,1,0.99718,0.995,0.47868,1.82986,1.52905,1.13504,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
11,245.862,1.55714,2.21973,1.09099,1,0.99808,0.995,0.48156,1.76728,1.56177,1.10843,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
12,267.335,1.53406,2.30103,1.06884,0.99978,1,0.995,0.53709,1.72422,1.59904,1.10434,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
13,289.619,1.49106,2.28983,1.08691,0.99644,1,0.995,0.50111,1.79935,1.56626,1.13822,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
14,311.707,1.56216,2.2599,1.08073,0.99712,1,0.995,0.55622,1.73184,1.45816,1.13362,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
15,334.279,1.45797,2.15721,1.06545,0.99639,1,0.995,0.53483,1.75646,1.41585,1.1483,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
16,356.77,1.42827,2.13696,1.08424,0.99578,1,0.995,0.53911,1.71274,1.34744,1.15126,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
17,378.903,1.42652,2.19525,1.02295,1,0.98106,0.995,0.54787,1.67085,1.35315,1.14093,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
18,401.819,1.40596,2.04405,1.05594,1,0.98696,0.995,0.53777,1.70981,1.38745,1.15385,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
19,423.161,1.44863,1.98877,1.0848,1,0.99052,0.995,0.53464,1.72773,1.39547,1.15977,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
20,445.117,1.44496,2.02779,1.07301,1,0.99575,0.995,0.53464,1.73653,1.41014,1.16187,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
